,time,lng,lat
308,2024-05-20 09:11:57,118.806800,31.888388
309,2024-05-20 09:12:04,118.806526,31.888370
310,2024-05-20 09:12:26,118.806180,31.888308
311,2024-05-20 09:12:28,118.806110,31.888245
312,2024-05-20 09:12:29,118.806070,31.888197
313,2024-05-20 09:12:31,118.806020,31.888063
314,2024-05-20 09:12:34,118.806040,31.887897
315,2024-05-20 09:13:04,118.807205,31.883036
316,2024-05-20 09:13:33,118.807570,31.882010
317,2024-05-20 09:14:03,118.808290,31.879824
318,2024-05-20 09:14:34,118.808580,31.878935
319,2024-05-20 09:14:46,118.808610,31.878832
320,2024-05-20 09:15:15,118.810190,31.875776
321,2024-05-20 09:15:46,118.812370,31.872360
322,2024-05-20 09:15:53,118.812760,31.871800
323,2024-05-20 09:16:22,118.812904,31.871610
324,2024-05-20 09:16:41,118.813090,31.871340
325,2024-05-20 09:16:45,118.813230,31.871176
326,2024-05-20 09:16:47,118.813350,31.871103
327,2024-05-20 09:16:50,118.813576,31.871023
328,2024-05-20 09:16:52,118.813750,31.871020
329,2024-05-20 09:17:15,118.816680,31.871145
330,2024-05-20 09:17:16,118.816710,31.871180
331,2024-05-20 09:17:17,118.816750,31.871223
332,2024-05-20 09:17:18,118.816765,31.871277
333,2024-05-20 09:17:25,118.816765,31.871560
334,2024-05-20 09:17:27,118.816820,31.871637
335,2024-05-20 09:17:28,118.816850,31.871664
336,2024-05-20 09:17:29,118.816910,31.871680
337,2024-05-20 09:17:30,118.816980,31.871689
338,2024-05-20 09:17:50,118.819050,31.871660
339,2024-05-20 09:18:11,118.818960,31.871664
340,2024-05-20 09:18:12,118.818960,31.871680
341,2024-05-20 09:18:13,118.818950,31.871700
342,2024-05-20 09:18:15,118.818880,31.871733
343,2024-05-20 09:18:16,118.818830,31.871737
344,2024-05-20 09:18:47,118.818600,31.871733
345,2024-05-20 09:19:16,118.818420,31.871716
346,2024-05-20 09:19:31,118.816750,31.871700
347,2024-05-20 09:19:32,118.816666,31.871680
348,2024-05-20 09:19:33,118.816600,31.871649
349,2024-05-20 09:19:34,118.816550,31.871607
350,2024-05-20 09:19:35,118.816536,31.871565
351,2024-05-20 09:19:47,118.816505,31.871317
352,2024-05-20 09:19:49,118.816460,31.871267
353,2024-05-20 09:19:50,118.816410,31.871260
354,2024-05-20 09:20:20,118.813880,31.871292
355,2024-05-20 09:20:21,118.813800,31.871307
356,2024-05-20 09:20:24,118.813620,31.871386
357,2024-05-20 09:20:31,118.813120,31.871689
358,2024-05-20 09:20:34,118.812904,31.871960
359,2024-05-20 09:21:04,118.810745,31.875248
360,2024-05-20 09:21:28,118.809220,31.878069
361,2024-05-20 09:21:58,118.808850,31.879116
362,2024-05-20 09:22:27,118.808090,31.881092
363,2024-05-20 09:22:58,118.806510,31.886389
364,2024-05-20 09:23:13,118.806210,31.888292
365,2024-05-20 09:23:43,118.806230,31.888315
366,2024-05-20 09:23:50,118.806310,31.888370
367,2024-05-20 09:23:51,118.806330,31.888370
368,2024-05-20 09:24:01,118.806610,31.888363
369,2024-05-20 09:24:11,118.806720,31.888388
370,2024-05-20 09:24:12,118.806786,31.888405
371,2024-05-20 09:24:15,118.806910,31.888405
372,2024-05-20 09:24:17,118.807030,31.888370
373,2024-05-20 09:24:21,118.807390,31.888300
374,2024-05-20 09:24:37,118.808400,31.888288
375,2024-05-20 09:24:38,118.808430,31.888271
376,2024-05-20 09:25:00,118.808640,31.888123
377,2024-05-20 09:25:03,118.808700,31.888016
378,2024-05-20 09:25:04,118.808720,31.887964
379,2024-05-20 09:25:35,118.808870,31.886108
380,2024-05-20 09:25:43,118.808940,31.885738
381,2024-05-20 09:25:44,118.808980,31.885696
382,2024-05-20 09:25:45,118.809010,31.885693
383,2024-05-20 09:25:52,118.809250,31.885720
384,2024-05-20 09:40:34,118.809010,31.885723
385,2024-05-20 09:40:36,118.809050,31.885761
386,2024-05-20 09:40:38,118.809030,31.885828
387,2024-05-20 09:41:08,118.808850,31.887812
388,2024-05-20 09:41:13,118.808790,31.888231
389,2024-05-20 09:41:14,118.808720,31.888285
390,2024-05-20 09:41:15,118.808655,31.888330
391,2024-05-20 09:41:16,118.808580,31.888363
392,2024-05-20 09:41:17,118.808480,31.888374
393,2024-05-20 09:41:31,118.807144,31.888346
394,2024-05-20 09:41:36,118.806920,31.888400
395,2024-05-20 09:41:46,118.806640,31.888388
396,2024-05-20 09:41:51,118.806230,31.888327
397,2024-05-20 09:41:52,118.806150,31.888296
398,2024-05-20 09:41:53,118.806110,31.888248
399,2024-05-20 09:41:54,118.806050,31.888187
400,2024-05-20 09:41:55,118.806020,31.888119
401,2024-05-20 09:41:57,118.806020,31.887953
402,2024-05-20 09:42:16,118.806580,31.884983
403,2024-05-20 09:42:45,118.807550,31.882013
404,2024-05-20 09:43:15,118.808430,31.879349
405,2024-05-20 09:43:46,118.808640,31.878729
406,2024-05-20 09:44:03,118.809600,31.876644
407,2024-05-20 09:44:33,118.811830,31.873213
408,2024-05-20 09:44:49,118.812760,31.871800
409,2024-05-20 09:45:19,118.813010,31.871460
410,2024-05-20 09:45:27,118.813250,31.871145
411,2024-05-20 09:45:30,118.813440,31.871048
412,2024-05-20 09:45:32,118.813620,31.871016
413,2024-05-20 09:45:34,118.813810,31.871029
414,2024-05-20 09:46:04,118.816310,31.871110
415,2024-05-20 09:46:20,118.816580,31.871119
416,2024-05-20 09:46:22,118.816680,31.871166
417,2024-05-20 09:46:23,118.816710,31.871204
418,2024-05-20 09:46:25,118.816750,31.871288
419,2024-05-20 09:46:34,118.816800,31.871630
420,2024-05-20 09:46:36,118.816864,31.871675
421,2024-05-20 09:46:42,118.817024,31.871683
422,2024-05-20 09:47:00,118.819010,31.871700
423,2024-05-20 09:47:23,118.818890,31.871708
424,2024-05-20 09:47:24,118.818850,31.871740
425,2024-05-20 09:47:26,118.818800,31.871748
426,2024-05-20 09:47:56,118.818565,31.871748
427,2024-05-20 09:48:53,118.816696,31.871689
428,2024-05-20 09:48:55,118.816550,31.871618
429,2024-05-20 09:48:56,118.816520,31.871576
430,2024-05-20 09:48:59,118.816505,31.871508
431,2024-05-20 09:49:06,118.816490,31.871350
432,2024-05-20 09:49:07,118.816475,31.871317
433,2024-05-20 09:49:08,118.816440,31.871288
434,2024-05-20 09:49:09,118.816390,31.871267
435,2024-05-20 09:49:10,118.816320,31.871264
436,2024-05-20 09:49:28,118.813866,31.871288
437,2024-05-20 09:49:30,118.813675,31.871359
438,2024-05-20 09:49:37,118.813130,31.871675
439,2024-05-20 09:50:07,118.810640,31.875385
440,2024-05-20 09:50:11,118.810370,31.875760
441,2024-05-20 09:50:42,118.808850,31.878971
442,2024-05-20 09:50:43,118.808840,31.879051
443,2024-05-20 09:50:48,118.808810,31.879196
444,2024-05-20 09:51:12,118.808624,31.879564
445,2024-05-20 09:51:43,118.807110,31.884151
446,2024-05-20 09:51:51,118.806720,31.885391
447,2024-05-20 09:52:15,118.806280,31.888271
448,2024-05-20 09:52:17,118.806310,31.888320
449,2024-05-20 09:52:20,118.806420,31.888353
450,2024-05-20 09:52:31,118.806984,31.888370
451,2024-05-20 09:52:39,118.807790,31.888288
452,2024-05-20 09:52:46,118.808365,31.888292
453,2024-05-20 09:52:48,118.808450,31.888256
454,2024-05-20 09:53:14,118.808670,31.888084
455,2024-05-20 09:53:15,118.808700,31.888048
456,2024-05-20 09:53:16,118.808720,31.887964
457,2024-05-20 09:53:47,118.808840,31.886396
458,2024-05-20 09:54:16,118.808940,31.885796
459,2024-05-20 09:54:26,118.808940,31.885746
460,2024-05-20 09:54:32,118.809010,31.885620
461,2024-05-20 09:55:03,118.809010,31.885600
462,2024-05-20 10:31:08,118.808850,31.887894
463,2024-05-20 10:31:36,118.808840,31.888561
464,2024-05-20 10:31:38,118.808790,31.888582
465,2024-05-20 10:31:40,118.808700,31.888582
466,2024-05-20 10:31:41,118.808655,31.888565
467,2024-05-20 10:31:46,118.808350,31.888400
468,2024-05-20 10:31:55,118.807440,31.888353
469,2024-05-20 10:31:59,118.807144,31.888382
470,2024-05-20 10:32:18,118.806740,31.888412
471,2024-05-20 10:32:48,118.806380,31.888353
472,2024-05-20 10:33:21,118.806250,31.888327
473,2024-05-20 10:33:22,118.806200,31.888300
474,2024-05-20 10:33:24,118.806110,31.888216
475,2024-05-20 10:33:26,118.806040,31.888105
476,2024-05-20 10:33:27,118.806020,31.888040
477,2024-05-20 10:33:29,118.806050,31.887890
478,2024-05-20 10:33:59,118.807110,31.883345
479,2024-05-20 10:34:29,118.807550,31.881998
480,2024-05-20 10:34:58,118.808350,31.879696
481,2024-05-20 10:35:25,118.808580,31.878914
482,2024-05-20 10:35:28,118.808640,31.878820
483,2024-05-20 10:35:32,118.808790,31.878496
484,2024-05-20 10:35:46,118.809770,31.876420
485,2024-05-20 10:36:05,118.810980,31.874577
486,2024-05-20 10:36:06,118.811010,31.874560
487,2024-05-20 10:36:07,118.811050,31.874556
488,2024-05-20 10:36:08,118.811080,31.874563
489,2024-05-20 10:36:16,118.811150,31.874603
490,2024-05-20 10:36:18,118.811165,31.874650
491,2024-05-20 10:36:20,118.811150,31.874737
492,2024-05-20 10:36:49,118.809340,31.877695
493,2024-05-20 10:36:50,118.809280,31.877829
494,2024-05-20 10:37:20,118.808120,31.881100
495,2024-05-20 10:37:49,118.808040,31.881329
496,2024-05-20 10:38:20,118.806625,31.885923
497,2024-05-20 10:38:21,118.806560,31.886305
498,2024-05-20 10:38:36,118.806250,31.888240
499,2024-05-20 10:38:37,118.806270,31.888292
500,2024-05-20 10:38:38,118.806300,31.888330
501,2024-05-20 10:38:39,118.806340,31.888350
502,2024-05-20 10:38:40,118.806400,31.888363
503,2024-05-20 10:38:49,118.806984,31.888367
504,2024-05-20 10:39:05,118.808464,31.888271
505,2024-05-20 10:39:22,118.808640,31.888165
506,2024-05-20 10:39:24,118.808700,31.888090
507,2024-05-20 10:39:26,118.808740,31.888000
508,2024-05-20 10:39:56,118.808870,31.886192
509,2024-05-20 10:40:05,118.808970,31.885693
510,2024-05-20 10:40:06,118.809000,31.885680
511,2024-05-20 10:40:08,118.809070,31.885680
512,2024-05-20 10:40:37,118.808980,31.885683
513,2024-05-20 11:00:30,118.808970,31.886091
514,2024-05-20 11:00:58,118.808740,31.888248
515,2024-05-20 11:00:59,118.808700,31.888300
516,2024-05-20 11:01:00,118.808640,31.888346
517,2024-05-20 11:01:02,118.808495,31.888409
518,2024-05-20 11:01:03,118.808400,31.888416
519,2024-05-20 11:01:16,118.807205,31.888357
520,2024-05-20 11:01:28,118.806786,31.888412
521,2024-05-20 11:01:58,118.806310,31.888405
522,2024-05-20 11:02:24,118.806170,31.888374
523,2024-05-20 11:02:25,118.806120,31.888350
524,2024-05-20 11:02:26,118.806070,31.888308
525,2024-05-20 11:02:27,118.806040,31.888252
526,2024-05-20 11:02:28,118.806010,31.888184
527,2024-05-20 11:02:30,118.806010,31.888012
528,2024-05-20 11:02:50,118.806640,31.884810
529,2024-05-20 11:03:20,118.807520,31.882040
530,2024-05-20 11:03:49,118.807790,31.881212
531,2024-05-20 11:04:20,118.808495,31.879133
532,2024-05-20 11:04:50,118.808590,31.878843
533,2024-05-20 11:04:52,118.808624,31.878788
534,2024-05-20 11:04:57,118.808790,31.878447
535,2024-05-20 11:05:19,118.810040,31.875908
536,2024-05-20 11:05:49,118.812160,31.872763
537,2024-05-20 11:06:12,118.813250,31.871155
538,2024-05-20 11:06:14,118.813390,31.871077
539,2024-05-20 11:06:16,118.813545,31.871044
540,2024-05-20 11:06:18,118.813736,31.871044
541,2024-05-20 11:06:46,118.816650,31.871138
542,2024-05-20 11:06:47,118.816696,31.871166
543,2024-05-20 11:06:48,118.816730,31.871204
544,2024-05-20 11:06:51,118.816765,31.871311
545,2024-05-20 11:07:07,118.816790,31.871582
546,2024-05-20 11:07:08,118.816800,31.871626
547,2024-05-20 11:07:09,118.816830,31.871664
548,2024-05-20 11:07:10,118.816880,31.871683
549,2024-05-20 11:07:12,118.817010,31.871689
550,2024-05-20 11:07:31,118.819040,31.871683
551,2024-05-20 11:07:52,118.818950,31.871696
552,2024-05-20 11:07:54,118.818910,31.871729
553,2024-05-20 11:07:55,118.818880,31.871740
554,2024-05-20 11:08:24,118.818600,31.871737
555,2024-05-20 11:10:20,118.818440,31.871744
556,2024-05-20 11:10:50,118.817290,31.871733
557,2024-05-20 11:10:56,118.816666,31.871712
